british_drivers_KSI,front_seat_KSI,rear_seats_KSI,kilometers_driven,real_price_of_petrol
7.43071,6.76504,5.59471,9.11151,-2.2733
7.31854,6.71538,5.57973,8.94703,-2.27923
7.31788,6.69208,5.76519,9.20663,-2.28217
7.23346,6.70196,6.00881,9.30155,-2.29389
7.39756,6.89871,6.1181,9.3778,-2.29244
7.32053,6.85118,6.05678,9.42473,-2.29679
7.3518,6.91175,6.25767,9.50748,-2.26554
7.39634,6.99485,6.28413,9.55073,-2.26263
7.36455,6.86485,6.00389,9.40146,-2.26554
7.41035,6.74524,6.07993,9.33891,-2.27277
7.67415,7.01121,6.07304, 9.1936,-2.27565
7.67229,7.01481,6.07993,9.13422,-2.28281
7.46851,6.82979,5.75574,9.11932,-2.28992
7.47591,6.80572,5.73979,9.09751,-2.29557
7.44833,6.91374,5.86079,9.30565,-2.30119
7.35116,6.79347,5.89164,9.28108,-2.31647
7.36201,6.89771,6.18621,9.46591,-2.31923
7.32647,6.76389,6.06146,9.467,-2.32197
7.49832,6.99851,6.31173, 9.5461,-2.33017
7.49554, 7.0934,6.4708,9.61086,-2.32882
 7.4495,6.93634,6.12249,9.46498,-2.32867
7.60489,7.04491,6.16331,9.39549,-2.33945
7.71512,7.06561,6.12249,9.27266,-2.34613
7.81521,7.16935,6.14847,9.28192,-2.35276
7.61579,6.85013,5.87493,9.23659,-2.33577
7.41156,6.77308,5.60212,9.23805,-2.34227
7.43426, 6.7334,5.8693,9.35245,-2.35002
7.39203,6.79459,6.05678,9.41581,-2.35694
7.49832,6.91473,6.14204,9.51687,-2.36321
7.46508,6.88038,6.08677,9.47647,-2.36945
7.49276,7.00033,6.28972,9.68378,-2.37565
 7.5632,7.08506,6.4708,9.63037,-2.37688
7.38956,6.89568,6.12468,9.53416,-2.37812
7.59689,6.98193,6.10032,9.45164,-2.38304
 7.7111,6.95177,5.99645,9.34723,-2.38916
7.69257,7.01661,6.08905,9.33706,-2.39402
7.64012,6.91274,5.88332,9.28758,-2.40007
 7.4776,6.75344,5.81114,9.26369,-2.40488
 7.5148,6.77878, 5.743,9.42287,-2.40848
7.35819,6.78785,6.05678,9.49635, -2.418
7.58883,6.98008,6.07304,9.53856,-2.42273
7.52456,7.02198,6.18621,9.55308,-2.42861
7.58325,7.08171,6.34388,9.73696,-2.42022
7.43189,6.96414,6.25958,9.69054,-2.42836
7.48324,6.84482,6.03548,9.60798,-2.41979
7.58883,6.97915,6.11368,9.51281,-2.43353
7.78197,6.99302,6.13556,9.41083,-2.43693
7.88382,7.09672,6.20859,9.39474,-2.44144
7.64826,6.80572,5.8693,9.36666,-2.44819
7.58223,6.82002,5.84932,9.31299,-2.45489
7.42476,6.66823,5.6204,9.52843,-2.46043
7.57096,7.01571,6.15698,9.57373,-2.47906
 7.6024,6.92166,6.18826,9.57436,-2.46993
7.50274,6.92952,6.22456,9.65483,-2.47531
7.60688,7.01571,6.42811,9.73116,-2.47958
 7.5559,7.03174,6.46147,9.75742,-2.48278
7.64204,7.01302,6.32615,9.66644,-2.49125
7.64012,6.91572,6.11589,9.54295,-2.5111
7.65823,6.82002,6.03548,9.44944,-2.49068
7.67322,6.89972,6.03787,9.25254,-2.36244
7.38275,6.59441,5.56834,9.36014,-2.38163
7.31522,6.49979,5.70044,9.28804,-2.22413
7.34472,6.58479,5.71373,9.42714,-2.23295
7.23129,6.61204,5.99396,9.51819,-2.17118
7.45645,6.81344,6.02345, 9.5788,-2.18521
7.49443,6.78333,6.05444,9.61707,-2.19538
7.48381,6.80239,6.24611,9.65899,-2.20454
7.54274,6.96319,6.39693,9.72585,-2.2238
 7.6029,6.98101,6.12905,9.59676,-2.23467
